Notes,ValidationRule,organisation_id,subsidiary_id,organisation_size,submission_period,packaging_activity,packaging_type,packaging_class,packaging_material,packaging_material_subtype,from_country,to_country,packaging_material_weight,packaging_material_units,Issue type,ErrorCode,ErrorMessage,ErrorMessageWelsh
Any valid record with submission period as in the most records - this record will be used for presenting the error 50,,org_id_placeholder,123ABC456XYZ,L,2023-P2,SO,PB,B1,AL,,,,100,,,,,
,Packaging_activity_incorrect,org_id_placeholder,12,L,2023-P2,Pf,HDC,,AL,,,,101,101,Error/Gwall,2,"When packaging activity is entered, it must be one of the codes SO, PF, IM, SE, HL or OM","Wrth roi gweithgaredd pecynnu, rhaid ichi roi un o'r codau SO, PF, IM, SE, HL neu OM"
,Packaging_type_incorrect,org_id_placeholder,12,L,2023-P2,PF,HDc,,AL,,,,101,101,Error/Gwall,3,"Packaging type must be one of the codes HH, NH, CW, OW, PB, RU, HDC, NDC or SP","Rhaid i'r math o ddeunydd pecynwaith fod yn un o'r codau HH, NH, CW, OW, PB, RU, HDC, NDC neu SP"
,Packaging_class_incorrect,org_id_placeholder,A,L,2023-P2,SO,HH,p1,AL,,,,101,,Error/Gwall,4,"When packaging class is entered, it must be one of the codes P1, P2, P3, P4, P5, P6, O1, O2 or B1","Wrth roi'r dosbarth pecynwaith, rhaid ichi roi un o'r codau P1, P2, P3, P4, P5, P6, O1, O2 neu B1"
,Packaging_material_incorrect,org_id_placeholder,A,L,2023-P2,SO,HH,P1,Al,,,,101,,Error/Gwall,5,"Packaging material must be one of the codes AL, FC, GL, PC, PL, ST, WD or OT","Rhaid i'r deunydd pecynwaith fod yn un o'r codau AL, FC, GL, PC, PL, ST, WD neu OT"
,From_country_incorrect,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PL,,En,,101,,Error/Gwall,7,"When packaging type is self-managed waste (CW or OW), from country must be one of England (EN), Northern Ireland (NI), Scotland (SC) or Wales (WS)","Os gwastraff hunan-reoledig (CW neu OW) yw'r math o becynwaith, rhaid i'r wlad mae'n dod ohoni fod yn un o blith Lloegr (EN), Gogledd Iwerddon (NI), yr Alban (SC) neu Gymru (WS)"
"This valid record should present in this file as there is dependecy between this record and the next one (record should be the same as the next one, but ""to country"" field should be empty)",,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PL,,NI,,101,,,,,
,To_country_incorrect,org_id_placeholder,ABC123,L,2023-P2,,OW,O2,PL,,NI,En,101,,Error/Gwall,8,"When packaging type is self-managed waste (CW or OW), and you send it to another country, the to country must be one of England (EN), Northern Ireland (NI), Scotland (SC) or Wales (WS)","Os gwastraff hunan-reoledig (CW neu OW) yw'r math o becynwaith, a'ch bod chi'n ei anfon i wlad arall, rhaid i'r wlad mae'n cael ei anfon iddi fod yn un o blith Lloegr (EN), Gogledd Iwerddon (NI), yr Alban (SC) neu Gymru (WS)"
,Pack_material_weight_incorrect,org_id_placeholder,12,L,2023-P2,PF,HDC,,AL,,,,100.5,101,Error/Gwall,9,"Packaging material weight must be a whole number in kilograms. For example, 50000. Do not include the words 'kilograms' or 'kgs'.","Rhaid i bwysau'r deunydd pecynwaith fod yn rhif gyfan mewn cilogramau. Er enghraifft, 50,000. Peidiwch â chynnwys y geiriau 'cilogramau' neu 'kgs'."
,Pack_material_units_incorrect,org_id_placeholder,12,L,2023-P2,PF,HDC,,AL,,,,100,100.5,Error/Gwall,10,Packaging material units must be a whole number,Rhaid i unedau'r deunydd pecynwaith fod yn rhif cyfan
